A2M 	13.108	12.977	13.781	11.990	14.444	13.948	12.633	10.857	12.690	14.588	12.431	14.546	11.311	10.209	12.338	11.498	13.002	11.400	13.311
AAMP 	9.958	10.069	9.602	10.004	10.069	9.505	10.408	10.246	10.705	10.202	10.331	9.861	10.597	9.311	10.084	10.071	10.485	10.834	9.714
AARS2 	9.347	9.498	9.742	9.434	9.236	9.402	9.112	9.462	8.987	9.569	8.958	9.625	9.177	7.585	9.055	9.297	9.256	9.107	9.102
AARSD1 	10.380	10.238	10.017	9.542	10.323	9.676	9.618	10.480	9.972	10.016	10.358	9.679	9.468	7.871	9.883	9.897	10.108	9.997	10.097
AASDHPPT 	9.063	8.204	8.737	8.638	8.824	8.697	9.050	9.147	9.178	8.807	8.667	8.860	9.199	7.594	8.802	9.369	9.101	8.656	8.783
AASS 	8.038	8.076	8.037	8.126	7.869	8.318	7.917	8.098	8.110	8.160	7.858	7.931	7.724	7.656	8.071	8.074	7.917	7.999	8.436
AATF 	10.429	9.745	10.448	10.197	10.412	9.898	10.096	10.720	10.124	10.062	10.452	10.421	10.223	7.778	9.669	10.629	10.202	10.747	9.828
ABCA2 	8.450	8.014	8.703	7.898	8.036	8.063	8.233	7.993	7.819	8.674	8.184	8.907	7.963	7.493	8.723	8.612	8.510	9.177	8.581
ABCB1 	8.555	7.986	8.314	8.122	7.752	8.461	7.736	8.090	7.971	8.316	8.059	7.595	7.757	7.714	8.255	7.989	7.920	8.269	8.922
ABCB6 	9.184	8.828	8.969	8.168	9.219	8.473	9.179	8.819	8.940	9.107	10.439	8.790	9.380	7.576	9.553	9.219	10.043	9.579	8.931
ABCB7 	9.502	10.253	9.379	9.003	9.703	9.595	10.019	9.323	9.661	9.287	9.921	9.365	10.476	11.832	9.672	9.639	9.099	9.656	9.885
ABCC1 	7.928	7.681	8.449	8.092	8.054	7.789	8.363	8.424	8.365	8.204	7.677	8.153	8.196	7.582	7.886	8.100	7.859	8.338	7.875
ABCC4 	8.674	8.136	8.746	8.864	9.131	9.051	8.769	10.808	8.276	8.548	8.762	9.157	9.266	8.121	8.484	8.418	8.458	8.434	8.459
ABCD1 	9.135	7.856	9.071	8.271	8.139	8.194	10.456	9.380	7.803	8.870	9.584	9.274	8.321	7.575	7.916	8.499	8.546	7.951	8.145
ABCD2 	7.560	7.617	7.555	7.685	7.651	7.620	7.676	7.654	7.566	7.713	7.798	7.592	7.577	7.757	7.522	7.658	7.628	7.607	7.791
ABCD3 	8.965	9.576	9.093	9.790	9.112	8.952	9.319	9.240	9.013	9.079	8.610	9.078	9.116	7.773	10.026	9.044	9.635	9.659	8.992
ABCD4 	7.822	7.752	7.828	8.005	7.844	7.874	7.926	8.006	7.917	7.926	7.977	7.953	7.744	9.647	7.986	7.975	7.927	7.960	8.069
ABCE1 	9.972	9.870	9.761	9.800	10.081	9.818	10.279	10.584	10.552	9.670	10.686	9.974	10.214	7.624	10.121	9.688	10.130	9.866	9.860
ABCF1 	12.041	12.192	12.161	12.440	11.816	12.085	11.579	12.606	12.425	11.831	12.059	11.720	11.775	10.435	12.175	11.493	11.750	11.879	11.688
ABCF2 	8.982	8.764	9.037	8.329	8.682	8.215	8.171	9.600	8.414	8.528	8.847	8.534	9.534	7.618	8.144	8.608	8.317	8.251	8.425
ABCF3 	8.746	8.109	8.732	8.682	8.168	7.979	8.570	8.949	8.919	8.745	8.241	8.210	8.718	7.606	8.580	8.949	8.406	8.805	8.392
ABHD10 	9.306	9.901	8.981	9.589	9.493	9.378	9.418	10.184	9.966	9.781	9.623	9.161	10.020	7.606	9.521	9.431	10.679	9.923	9.648
ABHD4 	8.355	8.268	8.587	8.519	8.567	8.648	9.365	7.760	8.096	8.848	8.007	8.822	9.148	7.628	8.274	9.258	8.998	8.284	8.769
ABI1 	7.749	7.745	7.860	7.719	7.672	7.817	7.810	7.752	7.691	7.778	7.751	7.805	7.758	7.904	7.644	7.763	7.816	7.696	7.949
ABI2 	7.539	7.578	7.590	7.625	7.571	7.559	7.622	7.580	7.649	7.626	7.692	7.557	7.560	7.635	7.662	7.596	7.588	7.580	7.584
ABI3 	9.347	8.913	8.552	8.915	8.135	9.060	8.370	8.787	8.301	8.627	8.611	8.482	8.931	7.680	8.608	8.850	9.065	8.851	8.662
ABL1 	7.713	7.798	7.727	7.682	7.726	7.722	7.813	7.739	7.886	7.761	7.721	7.691	7.755	7.702	7.784	7.733	7.720	7.737	7.790
ABLIM1 	7.725	7.827	7.721	7.771	7.608	7.605	7.714	7.654	7.851	7.741	7.687	7.721	7.626	7.633	7.709	7.571	7.668	7.810	7.682
ABTB2 	8.306	8.788	8.423	8.576	9.016	8.181	8.758	8.744	8.197	9.023	9.697	8.942	8.208	7.687	7.631	8.260	8.884	7.754	8.011
ACACA 	10.609	10.211	9.738	9.594	10.864	9.779	9.871	10.243	10.039	10.143	10.376	9.854	9.440	7.745	10.570	10.378	10.343	10.528	11.222
ACAD9 	10.846	11.298	10.878	11.128	10.358	10.677	10.512	10.897	10.148	10.871	10.458	11.249	10.223	7.734	10.529	10.899	11.021	10.510	10.753
ACADM 	10.409	9.984	10.315	11.233	10.720	10.369	10.603	10.923	11.091	10.186	10.183	10.744	11.171	7.576	10.929	10.163	10.004	10.457	10.873
ACADSB 	7.735	7.681	7.747	7.923	7.726	7.807	7.923	8.082	7.865	7.805	8.015	8.203	7.647	7.546	8.779	7.921	8.679	8.832	8.026
ACAT1 	10.848	10.761	10.916	11.000	10.122	11.390	12.403	11.268	10.879	11.020	11.150	11.280	11.628	9.326	11.111	12.041	11.875	11.006	12.602
ACBD3 	11.659	11.204	11.600	11.528	11.566	11.256	11.835	11.725	11.853	11.279	10.534	12.800	12.053	10.548	11.239	11.921	11.802	10.671	11.145
ACBD6 	9.868	10.265	9.718	9.926	10.024	9.364	9.108	10.284	9.736	9.470	9.624	10.538	9.384	7.890	9.324	10.191	10.576	9.984	9.483
ACD 	9.574	8.953	9.964	9.293	9.397	8.861	9.642	9.141	9.522	9.242	9.397	10.238	8.943	7.706	8.872	9.227	9.582	9.178	9.322
ACIN1 	9.571	9.496	9.927	9.991	9.588	9.758	9.938	10.198	10.378	10.423	9.443	9.829	9.934	8.366	9.794	9.891	9.683	10.151	9.692
ACLY 	11.113	10.980	11.141	10.997	11.515	10.693	10.879	11.394	11.506	11.104	11.317	10.529	10.868	10.577	11.562	11.213	11.253	11.589	11.026
ACO2 	9.421	9.168	10.539	10.358	10.133	9.823	10.652	9.665	9.579	9.304	10.413	10.295	9.859	7.631	9.793	9.716	9.911	9.642	9.785
ACOT7 	7.955	7.705	7.748	8.042	7.699	7.734	7.677	7.830	7.821	7.536	7.702	7.521	7.929	7.555	7.721	7.850	7.617	7.795	7.775
ACOT8 	8.632	8.291	8.805	9.059	8.718	8.848	8.974	8.649	8.485	8.420	8.130	8.411	8.712	7.572	8.782	8.819	8.822	8.587	8.281
ACOX1 	7.719	7.683	7.750	7.693	7.650	7.713	7.695	7.618	7.661	7.617	7.661	7.653	7.773	7.457	7.576	7.656	7.825	7.687	7.689
ACP1 	10.208	10.324	11.125	11.694	9.852	9.670	11.158	11.222	11.795	10.416	11.491	10.525	10.736	7.780	11.305	11.123	10.286	11.214	9.951
ACP6 	8.994	9.101	9.142	9.288	8.455	8.676	9.018	9.656	9.222	10.137	9.115	9.621	9.173	7.614	9.151	9.262	9.021	8.534	9.376
ACSF3 	7.751	7.753	7.687	7.669	7.713	7.726	7.748	7.749	7.723	7.862	7.862	7.743	7.744	7.546	7.741	7.701	7.649	7.683	7.699
ACSL3 	7.867	8.402	7.747	8.094	8.303	7.841	8.488	7.806	10.398	8.290	8.101	7.856	8.084	7.899	8.605	7.896	7.953	8.684	7.894
ACSL4 	10.744	9.708	9.827	9.346	10.247	10.621	10.558	9.959	9.257	10.395	9.663	11.105	11.092	10.125	9.644	9.340	9.493	8.975	10.766
ACTA2 	14.414	14.094	15.009	14.176	14.229	15.058	13.521	12.468	14.581	15.163	12.679	15.216	12.662	12.463	13.973	14.710	14.844	13.507	14.668
ACTB 	15.025	14.689	15.572	14.973	14.784	14.463	15.308	15.210	15.590	15.299	15.414	15.435	15.139	14.414	14.878	15.371	14.450	14.745	14.110
ACTBL2 	7.621	7.512	7.627	7.645	7.634	7.603	7.584	7.624	7.699	7.629	7.608	7.565	7.550	7.634	7.582	7.537	7.580	7.664	7.605
ACTC1 	7.633	7.658	7.613	7.723	11.284	7.854	7.578	7.575	7.681	7.686	7.700	7.684	7.670	7.599	7.616	7.891	7.654	7.604	7.623
ACTG1 	11.688	9.886	11.733	13.038	11.053	12.192	14.732	11.634	14.807	11.561	10.575	11.322	14.616	13.354	14.892	13.439	10.773	14.668	9.700
ACTG2 	12.814	13.921	15.455	14.414	14.807	14.638	12.857	14.224	14.987	15.414	13.190	15.572	8.450	9.039	11.711	11.000	12.067	10.845	14.013
ACTL6A 	12.030	11.477	11.101	12.299	11.842	10.607	11.458	11.967	13.028	11.312	11.802	11.716	11.837	10.002	11.020	11.474	11.261	11.726	10.708
ACTL6B 	7.558	7.714	7.682	7.688	7.698	7.673	7.726	7.683	7.612	7.646	7.712	7.677	7.654	7.711	7.544	7.607	7.634	7.590	7.608
ACTN1 	12.572	13.406	13.713	13.138	13.672	13.661	13.210	12.106	13.128	14.100	12.563	14.553	11.944	10.570	12.344	13.066	12.641	11.475	12.928
ACTN2 	7.698	7.678	7.678	7.829	8.284	7.766	7.658	7.535	8.140	7.590	7.571	7.727	7.590	8.434	7.581	7.597	7.616	7.662	7.685
ACTN4 	11.748	13.133	12.651	11.615	12.627	11.750	12.091	11.440	12.735	12.779	12.547	12.462	11.074	10.743	11.038	11.343	11.477	11.105	11.566
ACTR1A 	11.465	10.824	11.121	11.428	10.887	10.492	10.748	11.801	11.493	11.330	11.427	10.749	11.054	11.199	10.818	11.506	11.689	11.032	11.231
ACTR1B 	10.461	10.783	10.711	10.131	9.986	9.933	9.804	10.072	9.775	10.798	10.198	10.938	11.288	9.437	9.893	10.196	10.345	10.358	10.533
