component_id_U	component_V	cost_unequal	cost_equal
1	1	1	0
2	2	1	0
3	3	1	0
4	4	1	0
5	5	1	0
5	15	0	1
5	20	1	0
5	54	0	1
6	6	1	0
7	7	1	0
7	35	0	1
7	55	0	1
7	80	1	0
7	100	0	1
7	186	1	0
7	277	1	0
7	301	0	1
7	385	1	0
7	424	0	1
7	535	0	1
7	536	0	1
7	537	1	0
7	736	1	0
7	772	1	0
8	1	4	7
8	2	1	0
8	4	0	1
8	8	1	0
8	10	1	0
8	15	0	2
8	18	0	1
8	26	0	1
8	30	0	1
8	33	1	0
8	38	0	1
8	39	0	1
8	40	1	0
8	41	0	1
8	42	1	0
8	43	1	0
8	48	0	1
8	49	0	1
8	53	0	1
8	57	0	1
8	61	0	1
8	63	1	0
8	66	0	1
8	69	1	0
8	72	0	1
8	77	0	1
8	79	1	0
8	85	1	0
8	86	1	0
8	87	0	1
8	88	0	1
8	99	0	1
8	106	1	0
8	108	0	1
8	110	1	0
8	118	1	0
8	126	0	1
8	130	0	1
8	150	1	0
8	154	1	0
8	158	0	1
8	160	0	1
8	166	0	1
8	174	0	1
8	175	0	1
8	177	1	0
8	178	1	0
8	184	0	1
8	185	0	1
8	205	1	0
8	211	1	0
8	219	0	1
8	232	1	0
8	255	0	1
8	258	0	1
8	270	0	1
8	284	0	1
8	285	0	1
8	295	0	1
8	304	0	1
8	311	0	1
8	314	0	1
8	315	0	1
8	318	1	0
8	348	0	1
8	354	0	1
8	363	0	1
8	369	0	1
8	372	1	0
8	373	0	1
8	374	1	0
8	379	0	1
8	380	0	1
8	382	1	0
8	384	0	1
8	391	1	0
8	400	1	0
8	410	0	1
8	414	0	1
8	435	1	0
8	439	1	0
8	446	1	0
8	451	0	1
8	462	0	1
8	467	0	1
8	488	0	1
8	491	0	1
8	505	0	1
8	506	0	1
8	509	0	1
8	511	0	1
8	513	1	0
8	514	1	0
8	524	1	0
8	525	0	1
8	528	1	0
8	541	0	1
8	549	1	0
8	550	1	0
8	551	1	0
8	555	0	1
8	556	1	0
8	557	1	0
8	572	1	0
8	573	1	0
8	574	1	0
8	578	0	1
8	581	1	0
8	583	1	0
8	587	0	1
8	589	0	1
8	590	1	0
8	593	0	1
8	603	0	1
8	605	1	0
8	609	0	1
8	611	1	0
8	612	0	1
8	613	1	0
8	618	1	0
8	620	1	0
8	621	0	1
8	626	1	0
8	633	1	0
8	639	0	1
8	645	0	1
8	647	0	1
8	648	0	1
8	652	0	1
8	655	0	1
8	661	0	1
8	662	0	1
8	663	1	0
8	664	1	0
8	667	1	0
8	671	0	1
