number_of_components 612
Node_name	sat_assign.	component_no.
AASDHPPT	1	1
AASS	1	2
ABCD3	1	3
ABCF2	1	4
ABI1	1	5
ABI3	1	6
ACACA	1	7
ACBD3	1	8
ACP6	1	9
ACTB	1	8
ACTG1	1	10
ACTL6A	1	11
ACTN1	1	12
ACVR2A	1	13
ADAR	1	14
ADNP2	1	15
AGFG1	1	16
AGTPBP1	0	8
AHCTF1	1	17
AIFM1	1	18
AKT1	1	19
ALDH2	1	20
ALDH7A1	1	21
ALDH9A1	1	22
AMFR	1	23
AMIGO2	1	24
AMOT	1	25
ANK2	1	26
ANKHD1-EIF4EBP3	1	27
ANKRD1	0	8
ANXA1	1	28
ANXA4	1	29
AP2M1	1	30
AP3B1	1	31
APAF1	0	8
APBB1	1	32
APC	1	33
APEX1	1	8
APPBP2	1	34
AR	0	7
ARAP1	1	35
ARFGEF2	1	36
ARHGAP10	0	8
ARHGAP26	0	8
ARHGDIA	1	37
ARHGEF2	0	8
ARID1A	1	8
ARID1B	1	8
ARIH2	1	38
ARL3	1	39
ARPC3	1	40
ARRB1	0	31
ARRB2	1	41
ASAP1	0	8
ASAP2	0	8
ASCC2	1	42
ASF1A	1	43
ASF1B	1	44
ASH2L	1	45
ASXL1	0	8
ATAD3A	0	5
ATAD3B	1	46
ATF2	0	7
ATF4	1	47
ATP13A2	0	8
ATP2A1	0	8
ATP5C1	1	48
ATP5J2	1	49
ATXN2L	1	50
AURKA	0	8
AXIN1	1	51
AZI2	1	52
BAG1	1	8
BAG3	1	53
BANF1	1	54
BARD1	0	8
BAZ1A	1	55
BAZ1B	1	56
BBS10	1	57
BCL3	1	58
BCL6	1	59
BCL7C	1	60
BCOR	1	61
BCS1L	1	62
BEX2	0	8
BFAR	1	63
BICD2	1	64
BMI1	1	65
BMPR2	1	66
BNIP2	0	8
BOLA2	1	67
BPTF	0	17
BRCA1	1	68
BRCC3	1	7
BRD7	1	60
BRE	1	69
BSCL2	1	70
BTG2	1	71
BTG3	1	8
BYSL	1	8
C10ORF88	0	8
C11ORF2	0	8
C11ORF58	1	72
C12ORF44	1	73
C14ORF1	1	20
C1ORF94	1	74
C20ORF20	1	75
C20ORF24	1	76
C20ORF4	1	77
C3ORF26	1	54
C4ORF43	1	50
C7ORF26	1	78
C8ORF33	1	79
CA2	1	80
CACNA1A	1	24
CALCOCO2	1	81
CALM2	0	8
CASP8AP2	0	7
CBFA2T2	1	82
CBLC	1	83
CBR1	1	73
CBS	1	84
CBX4	1	85
CCDC14	1	8
CCDC53	1	86
CCDC8	0	8
CCDC85B	1	87
CCNE2	1	8
CCNK	1	87
CCNT2	1	88
CCT4	1	89
CCT5	1	90
CCT8	1	91
CD4	1	28
CDC23	1	92
CDC25A	1	93
CDC25B	1	8
CDC42	1	94
CDC42SE2	1	95
CDC5L	1	33
CDC7	1	96
CDC73	1	97
CDK7	1	98
CDK9	1	99
CDKN2A	1	100
CDKN2D	0	8
CDT1	1	56
CDYL	0	92
CEBPA	1	101
CECR2	0	8
CELSR2	1	102
CENPF	1	103
CEP170	1	10
CEP63	0	26
CEP72	1	104
CEP78	1	105
CFL1	1	57
CFLAR	1	106
CHD1L	1	107
CHD3	1	108
CHD4	1	109
CHD8	1	110
CHMP1A	1	111
CHMP4A	1	112
CHMP4C	0	112
CHUK	1	113
CLIP1	1	114
CLK1	0	17
CLN3	1	115
CLP1	1	116
CLTC	1	31
CMTM6	1	117
CNOT1	1	118
CNOT3	1	119
CNOT4	1	120
CNOT7	1	119
COBRA1	1	121
COMMD3	1	8
COPA	1	21
COPB2	1	122
COPG	0	17
COPS2	1	8
COPS3	1	123
COPS5	1	124
COPS6	0	21
CORO1A	1	125
COX6B1	1	126
CPNE3	1	127
CPSF2	1	128
CPSF6	1	129
CPT1A	1	130
CREB1	1	110
CREBBP	1	131
CRMP1	1	132
CRYAB	1	133
CRYGC	1	134
CSDA	1	135
CSNK1G3	0	8
CSNK2A1	1	109
CSNK2B	1	136
CSTF2	1	137
CTBP1	1	138
CTBP2	1	139
CTNNBL1	1	140
CTNND1	1	141
CTPS	1	17
CTSB	1	142
CTTNBP2NL	1	143
CUEDC2	1	113
CUL3	0	8
CUL4A	1	144
CUL5	1	145
CWF19L1	0	8
CYFIP1	1	146
DAAM1	0	8
DAB2	1	147
DAPK1	1	8
DARS2	1	148
DAXX	1	149
DAZAP2	1	150
DBN1	1	8
DBNL	1	151
DCTN2	1	152
DDA1	1	21
DDB2	1	153
DDX1	0	50
DDX11	1	154
DDX24	1	62
DDX3X	1	76
DDX47	1	155
DDX5	1	156
DDX56	1	157
DDX6	1	158
DEFA1	0	8
DHX15	1	159
DHX34	0	8
DHX36	1	7
DIP2C	1	160
DISC1	1	10
DKFZP761E198	1	161
DLG3	1	162
DLGAP1	1	162
DLST	1	109
DLX2	1	163
DMAP1	1	164
DMWD	1	142
DNAJA1	1	165
DNAJB1	0	8
DNAJB11	1	42
DNAJB6	0	8
DNM2	1	166
DNMBP	1	167
DNMT1	1	168
DNMT3B	1	169
DNMT3L	1	169
DNTT	1	170
DPY30	1	171
DR1	0	15
DRAP1	1	172
DRG1	1	17
DST	0	15
DTX2	1	173
DUSP1	1	8
DUSP11	1	174
DVL2	0	53
DYNC1I1	1	42
DYNC1I2	1	175
DYNLL1	1	176
DYNLRB1	0	17
