number_of_components 835
Node_name	sat_assign.	component_no.
AASDHPPT	1	1
AASS	1	2
ABCD3	1	3
ABCF2	1	4
ABI1	1	5
ABI3	1	6
ACACA	1	7
ACBD3	1	8
ACP6	1	9
ACTB	1	10
ACTG1	1	11
ACTL6A	1	12
ACTN1	1	13
ACVR2A	1	14
ADAR	1	15
ADNP2	1	16
AGFG1	1	17
AGTPBP1	1	18
AHCTF1	1	19
AIFM1	1	20
AKT1	0	2
ALDH2	1	21
ALDH7A1	0	15
ALDH9A1	1	22
AMFR	1	23
AMIGO2	1	24
AMOT	1	25
ANK2	0	15
ANKHD1-EIF4EBP3	1	15
ANKRD1	1	26
ANXA1	1	27
ANXA4	1	28
AP2M1	0	4
AP3B1	1	29
APAF1	1	30
APBB1	1	31
APC	1	32
APEX1	1	33
APPBP2	1	34
AR	1	35
ARAP1	1	36
ARFGEF2	1	37
ARHGAP10	1	38
ARHGAP26	1	39
ARHGDIA	1	40
ARHGEF2	1	41
ARID1A	1	42
ARID1B	1	43
ARIH2	1	44
ARL3	1	45
ARPC3	1	15
ARRB1	1	46
ARRB2	1	47
ASAP1	1	48
ASAP2	1	49
ASCC2	1	50
ASF1A	1	51
ASF1B	1	1
ASH2L	1	52
ASXL1	1	53
ATAD3A	1	54
ATAD3B	1	15
ATF2	1	55
ATF4	1	56
ATP13A2	1	57
ATP2A1	1	1
ATP5C1	1	58
ATP5J2	1	59
ATXN2L	1	60
AURKA	1	61
AXIN1	1	62
AZI2	0	23
BAG1	1	63
BAG3	1	64
BANF1	1	65
BARD1	1	66
BAZ1A	1	15
BAZ1B	1	67
BBS10	1	68
BCL3	1	69
BCL6	1	15
BCL7C	1	70
BCOR	0	15
BCS1L	1	71
BEX2	1	72
BFAR	1	73
BICD2	1	74
BMI1	1	75
BMPR2	1	76
BNIP2	1	77
BOLA2	0	47
BPTF	1	78
BRCA1	1	79
BRCC3	1	80
BRD7	1	81
BRE	1	82
BSCL2	1	83
BTG2	1	84
BTG3	1	85
BYSL	1	86
C10ORF88	1	87
C11ORF2	1	88
C11ORF58	0	15
C12ORF44	1	89
C14ORF1	1	21
C1ORF94	1	90
C20ORF20	0	79
C20ORF24	1	91
C20ORF4	1	1
C3ORF26	1	92
C4ORF43	1	93
C7ORF26	1	94
C8ORF33	1	95
CA2	1	96
CACNA1A	1	97
CALCOCO2	1	98
CALM2	1	99
CASP8AP2	1	100
CBFA2T2	1	101
CBLC	1	102
CBR1	1	103
CBS	1	104
CBX4	1	105
CCDC14	1	106
CCDC53	1	107
CCDC8	1	108
CCDC85B	1	109
CCNE2	1	110
CCNK	1	111
CCNT2	1	112
CCT4	1	113
CCT5	1	15
CCT8	1	114
CD4	1	115
CDC23	1	116
CDC25A	1	117
CDC25B	1	118
CDC42	1	119
CDC42SE2	0	119
CDC5L	1	120
CDC7	1	121
CDC73	1	122
CDK7	1	123
CDK9	1	124
CDKN2A	1	125
CDKN2D	1	126
CDT1	1	127
CDYL	1	128
CEBPA	1	129
CECR2	1	130
CELSR2	1	131
CENPF	0	15
CEP170	0	11
CEP63	1	132
CEP72	1	47
CEP78	1	133
CFL1	1	134
CFLAR	1	135
CHD1L	1	136
CHD3	1	137
CHD4	1	137
CHD8	1	138
CHMP1A	1	139
CHMP4A	1	140
CHMP4C	1	141
CHUK	1	142
CLIP1	1	143
CLK1	1	144
CLN3	1	145
CLP1	1	146
CLTC	1	147
CMTM6	0	1
CNOT1	0	84
CNOT3	1	148
CNOT4	0	84
CNOT7	1	149
COBRA1	1	15
COMMD3	1	150
COPA	1	151
COPB2	1	152
COPG	1	153
COPS2	1	154
COPS3	1	155
COPS5	1	156
COPS6	0	15
CORO1A	1	157
COX6B1	0	15
CPNE3	1	158
CPSF2	1	159
CPSF6	1	160
CPT1A	1	161
CREB1	1	162
CREBBP	1	163
CRMP1	1	164
CRYAB	1	165
CRYGC	0	165
CSDA	1	15
CSNK1G3	1	166
CSNK2A1	1	167
CSNK2B	0	79
CSTF2	0	159
CTBP1	1	105
CTBP2	1	168
CTNNBL1	1	169
CTNND1	1	47
CTPS	1	170
CTSB	1	171
CTTNBP2NL	1	172
CUEDC2	1	142
CUL3	0	40
CUL4A	1	173
CUL5	1	1
CWF19L1	1	174
CYFIP1	0	31
DAAM1	1	175
DAB2	1	176
DAPK1	1	177
DARS2	1	2
DAXX	0	163
DAZAP2	1	90
DBN1	1	178
DBNL	1	179
DCTN2	1	74
DDA1	0	15
DDB2	1	15
DDX1	1	180
DDX11	1	1
DDX24	1	181
DDX3X	1	182
DDX47	1	137
DDX5	0	15
DDX56	1	183
DDX6	0	15
DEFA1	1	184
DHX15	0	15
DHX34	1	185
DHX36	1	186
DIP2C	1	187
DISC1	0	11
DKFZP761E198	1	188
DLG3	1	189
DLGAP1	1	190
DLST	1	191
DLX2	1	192
DMAP1	1	193
DMWD	1	194
DNAJA1	1	15
DNAJB1	0	2
DNAJB11	1	195
DNAJB6	1	1
DNM2	1	196
DNMBP	1	197
DNMT1	0	79
DNMT3B	1	198
DNMT3L	1	199
DNTT	1	15
DPY30	1	1
DR1	1	200
DRAP1	1	201
DRG1	1	202
DST	1	203
DTX2	1	204
DUSP1	1	205
DUSP11	0	2
DVL2	1	206
DYNC1I1	1	207
DYNC1I2	1	15
DYNLL1	0	15
DYNLRB1	1	208
